TVDSS,SV,DEN,SV_1,SV_NEW
4.925785,7.215833,1.03,7.216883359,7.2095267
5.052087,7.400858,1.03,7.401931388,7.394386096
5.17839,7.585878,1.03,7.586980881,7.579246956
5.304692,7.770898,1.03,7.772028909,7.764106352
5.430994,7.955918,1.03,7.957076938,7.948965748
5.557296,8.140939,1.03,8.142124966,8.133825144
5.683598,8.325964,1.03,8.327172994,8.318684541
5.8099,8.510984,1.03,8.512221023,8.503543937
5.936203,8.696004,1.03,8.697270516,8.688404797
6.062505,8.881024,1.03,8.882318544,8.873264193
6.188807,9.06605,1.03,9.067366573,9.058123589
6.315109,9.25107,1.03,9.252414601,9.242982986
6.441411,9.43609,1.03,9.437462629,9.427842382
6.567714,9.62111,1.03,9.622512123,9.612703242
6.694016,9.80613,1.03,9.807560151,9.797562638
6.820318,9.991156,1.03,9.992608179,9.982422034
6.94662,10.17618,1.03,10.17765621,10.16728143
7.072922,10.3612,1.03,10.36270424,10.35214083
7.199224,10.54622,1.03,10.54775226,10.53700022
7.325527,10.73124,1.03,10.73280176,10.72186108
7.451829,10.91626,1.03,10.91784979,10.90672048
7.578131,11.10128,1.03,11.10289781,11.09157988
7.704433,11.2863,1.03,11.28794584,11.27643927
7.830735,11.47132,1.03,11.47299387,11.46129867
7.957037,11.65635,1.03,11.6580419,11.64615806
8.08334,11.84137,1.03,11.84309139,11.83101892
8.209641,12.02639,1.03,12.02813796,12.01587686
8.335944,12.21141,1.03,12.21318745,12.20073772
8.462246,12.39643,1.03,12.39823548,12.38559711
8.588549,12.58145,1.03,12.58328497,12.57045797
8.71485,12.76647,1.03,12.76833153,12.75531591
8.841153,12.95149,1.03,12.95338103,12.94017677
8.967455,13.13652,1.03,13.13842906,13.12503616
9.093758,13.32154,1.03,13.32347855,13.30989702
9.220059,13.50657,1.03,13.50852511,13.49475495
9.346361,13.69158,1.03,13.69357314,13.67961435
9.472664,13.87661,1.03,13.87862263,13.86447521
9.598966,14.06162,1.03,14.06367066,14.04933461
9.725268,14.24664,1.03,14.24871869,14.234194
9.85157,14.43167,1.03,14.43376672,14.4190534
9.977873,14.61668,1.03,14.61881621,14.60391426
10.10417,14.80171,1.03,14.80385691,14.78876634
10.23048,14.98672,1.03,14.98891666,14.97363744
10.35678,15.17175,1.03,15.17396176,15.15849391
10.48308,15.35678,1.03,15.35900686,15.34335038
10.60938,15.54179,1.03,15.54405196,15.52820685
10.73569,15.72682,1.03,15.72911171,15.71307795
10.86199,15.91184,1.03,15.91415681,15.89793442
10.98829,16.09686,1.03,16.0992019,16.08279089
11.11459,16.28188,1.03,16.284247,16.26764736
11.24089,16.4669,1.03,16.4692921,16.45250383
11.3672,16.65192,1.03,16.65435185,16.63737494
11.4935,16.83695,1.03,16.83939695,16.82223141
11.6198,17.02196,1.03,17.02444205,17.00708787
11.7461,17.20699,1.03,17.20948714,17.19194434
11.87241,17.392,1.03,17.39454689,17.37681545
11.99871,17.57703,1.03,17.57959199,17.56167192
12.12501,17.76205,1.03,17.76463709,17.74652839
12.25131,17.94707,1.03,17.94968219,17.93138486
12.37761,18.13209,1.03,18.13472728,18.11624132
12.50392,18.31711,1.03,18.31978703,18.30111243
12.63022,18.50213,1.03,18.50483213,18.4859689
12.75652,18.68716,1.03,18.68987723,18.67082537
12.88282,18.87218,1.03,18.87492233,18.85568184
13.00912,19.0572,1.03,19.05996743,19.04053831
13.13543,19.24223,1.03,19.24502718,19.22540941
13.26173,19.42724,1.03,19.43007227,19.41026588
13.38803,19.61227,1.03,19.61511737,19.59512235
13.51433,19.79728,1.03,19.80016247,19.77997882
13.64064,19.98231,1.03,19.98522222,19.96484992
13.76694,20.16733,1.03,20.17026732,20.14970639
13.89324,20.35235,1.03,20.35531242,20.33456286
14.01954,20.53737,1.03,20.54035751,20.51941933
14.14584,20.72239,1.03,20.72540261,20.7042758
14.27215,20.90741,1.03,20.91046236,20.8891469
14.39845,21.09244,1.03,21.09550746,21.07400337
14.52475,21.27745,1.03,21.28055256,21.25885984
14.65105,21.46248,1.03,21.46559765,21.44371631
14.77736,21.64749,1.03,21.6506574,21.62858742
14.90366,21.83252,1.03,21.8357025,21.81344389
15.02996,22.01754,1.03,22.0207476,21.99830035
15.15626,22.20256,1.03,22.2057927,22.18315682
15.28256,22.38758,1.03,22.3908378,22.36801329
15.40887,22.5726,1.03,22.57589755,22.5528844
15.53517,22.75762,1.03,22.76094264,22.73774087
15.66147,22.94265,1.03,22.94598774,22.92259734
15.78777,23.12766,1.03,23.13103284,23.10745381
15.91407,23.31269,1.03,23.31607794,23.29231027
16.04038,23.49771,1.03,23.50113769,23.47718138
16.16668,23.68273,1.03,23.68618278,23.66203785
16.29298,23.86776,1.03,23.87122788,23.84689432
16.41928,24.05277,1.03,24.05627298,24.03175079
16.54559,24.23779,1.03,24.24133273,24.21662189
16.67189,24.42282,1.03,24.42637783,24.40147836
16.79819,24.60784,1.03,24.61142293,24.58633483
16.92449,24.79286,1.03,24.79646802,24.7711913
17.05079,24.97789,1.03,24.98151312,24.95604777
17.1771,25.1629,1.03,25.16657287,25.14091887
17.3034,25.34793,1.03,25.35161797,25.32577534
17.4297,25.53294,1.03,25.53666307,25.51063181
17.556,25.71797,1.03,25.72170817,25.69548828
17.68231,25.90299,1.03,25.90676792,25.88035939
17.80861,26.08801,1.03,26.09181301,26.06521585
17.93491,26.27303,1.03,26.27685811,26.25007232
18.06121,26.45805,1.03,26.46190321,26.43492879
18.18752,26.64307,1.03,26.64696296,26.6197999
18.31382,26.8281,1.03,26.83200806,26.80465637
18.44012,27.01311,1.03,27.01705315,26.98951284
18.56642,27.19814,1.03,27.20209825,27.1743693
18.69272,27.38315,1.03,27.38714335,27.35922577
18.81903,27.56818,1.03,27.5722031,27.54409688
18.94533,27.7532,1.03,27.7572482,27.72895335
19.07163,27.93822,1.03,27.9422933,27.91380982
19.19793,28.12325,1.03,28.12733839,28.09866629
19.32423,28.30827,1.03,28.31238349,28.28352275
19.45054,28.49328,1.03,28.49744324,28.46839386
19.57684,28.67831,1.03,28.68248834,28.65325033
19.70314,28.86333,1.03,28.86753344,28.8381068
19.82944,29.04835,1.03,29.05257854,29.02296327
19.95575,29.23338,1.03,29.23763829,29.20783437
20.08205,29.41839,1.03,29.42268338,29.39269084
20.20835,29.60342,1.03,29.60772848,29.57754731
20.33465,29.78844,1.03,29.79277358,29.76240378
20.46095,29.97346,1.03,29.97781868,29.94726025
20.58726,30.15848,1.03,30.16287843,30.13213135
20.71356,30.3435,1.03,30.34792352,30.31698782
20.83986,30.52852,1.03,30.53296862,30.50184429
20.96616,30.71354,1.03,30.71801372,30.68670076
21.09246,30.89856,1.03,30.90305882,30.87155723
21.21877,31.08359,1.03,31.08811857,31.05642834
21.34507,31.2686,1.03,31.27316367,31.2412848
21.47137,31.45363,1.03,31.45820876,31.42614127
21.59767,31.63865,1.03,31.64325386,31.61099774
21.72398,31.82367,1.03,31.82831361,31.79586885
21.85028,32.00869,1.03,32.01335871,31.98072532
21.97658,32.19371,1.03,32.19840381,32.16558179
22.10288,32.37873,1.03,32.38344891,32.35043825
22.22918,32.56376,1.03,32.568494,32.53529472
22.35549,32.74878,1.03,32.75355375,32.72016583
22.48179,32.9338,1.03,32.93859885,32.9050223
22.60809,33.11882,1.03,33.12364395,33.08987877
22.73439,33.30384,1.03,33.30868905,33.27473524
22.86069,33.48886,1.03,33.49373415,33.4595917
22.987,33.67388,1.03,33.67879389,33.64446281
23.1133,33.85891,1.03,33.86383899,33.82931928
23.2396,34.04392,1.03,34.04888409,34.01417575
23.3659,34.22895,1.03,34.23392919,34.19903222
23.49221,34.41397,1.03,34.41898894,34.38390332
23.61851,34.59898,1.03,34.60403404,34.56875979
23.74481,34.78401,1.03,34.78907913,34.75361626
23.87111,34.96904,1.03,34.97412423,34.93847273
23.99742,35.15405,1.03,35.15918398,35.12334383
24.12372,35.33908,1.03,35.34422908,35.3082003
24.25002,35.52409,1.03,35.52927418,35.49305677
24.37632,35.70912,1.03,35.71431928,35.67791324
24.50262,35.89414,1.03,35.89936437,35.86276971
24.62893,36.07916,1.03,36.08442412,36.04764082
24.75523,36.26418,1.03,36.26946922,36.23249728
24.88153,36.44921,1.03,36.45451432,36.41735375
25.00783,36.63422,1.03,36.63955942,36.60221022
25.13413,36.81925,1.03,36.82460452,36.78706669
25.26044,37.00426,1.03,37.00966426,36.9719378
25.38674,37.18929,1.03,37.19470936,37.15679427
25.51304,37.37431,1.03,37.37975446,37.34165074
25.63934,37.55933,1.03,37.56479956,37.5265072
25.76565,37.74435,1.03,37.74985931,37.71137831
25.89195,37.92937,1.03,37.93490441,37.89623478
26.01825,38.1144,1.03,38.1199495,38.08109125
26.14455,38.29942,1.03,38.3049946,38.26594772
26.27085,38.48444,1.03,38.4900397,38.45080419
26.39716,38.66946,1.03,38.67509945,38.63567529
26.52346,38.85448,1.03,38.86014455,38.82053176
26.64976,39.0395,1.03,39.04518965,39.00538823
26.77606,39.22453,1.03,39.23023474,39.1902447
26.90236,39.40954,1.03,39.41527984,39.37510117
27.02867,39.59457,1.03,39.60033959,39.55997227
27.15497,39.77959,1.03,39.78538469,39.74482874
27.28127,39.96461,1.03,39.97042979,39.92968521
27.40757,40.14963,1.03,40.15547488,40.11454168
27.53388,40.33465,1.03,40.34053463,40.29941278
27.66018,40.51967,1.03,40.52557973,40.48426925
27.78648,40.7047,1.03,40.71062483,40.66912572
27.91278,40.88971,1.03,40.89566993,40.85398219
28.03909,41.07474,1.03,41.08072968,41.0388533
28.16539,41.25975,1.03,41.26577478,41.22370977
28.29169,41.44478,1.03,41.45081987,41.40856623
28.41799,41.6298,1.03,41.63586497,41.5934227
28.54429,41.81482,1.03,41.82091007,41.77827917
28.6706,41.99984,1.03,42.00596982,41.96315028
28.7969,42.18487,1.03,42.19101492,42.14800675
28.9232,42.36988,1.03,42.37606002,42.33286322
29.0495,42.55491,1.03,42.56110511,42.51771969
29.1758,42.73993,1.03,42.74615021,42.70257615
29.30211,42.92495,1.03,42.93120996,42.88744726
29.42841,43.10996,1.03,43.11625506,43.07230373
29.55471,43.29499,1.03,43.30130016,43.2571602
29.68101,43.48001,1.03,43.48634525,43.44201667
29.80732,43.66504,1.03,43.671405,43.62688777
29.93362,43.85006,1.03,43.8564501,43.81174424
30.05992,44.03508,1.03,44.0414952,43.99660071
30.18622,44.2201,1.03,44.2265403,44.18145718
30.31252,44.40512,1.03,44.4115854,44.36631365
30.43883,44.59014,1.03,44.59664515,44.55118475
30.56513,44.77516,1.03,44.78169024,44.73604122
30.69143,44.96019,1.03,44.96673534,44.92089769
30.81773,45.1452,1.03,45.15178044,45.10575416
30.94403,45.33023,1.03,45.33682554,45.29061063
31.07034,45.51525,1.03,45.52188529,45.47548173
31.19664,45.70027,1.03,45.70693039,45.6603382
31.32294,45.88529,1.03,45.89197548,45.84519467
31.44924,46.07031,1.03,46.07702058,46.03005114
31.57555,46.25533,1.03,46.26208033,46.21492225
31.70185,46.44036,1.03,46.44712543,46.39977872
31.82815,46.62537,1.03,46.63217053,46.58463518
31.95445,46.8104,1.03,46.81721562,46.76949165
32.08075,46.99541,1.03,47.00226072,46.95434812
32.20706,47.18044,1.03,47.18732047,47.13921923
32.33336,47.36546,1.03,47.37236557,47.3240757
32.45966,47.55048,1.03,47.55741067,47.50893217
32.58596,47.7355,1.03,47.74245577,47.69378863
32.71227,47.92052,1.03,47.92751552,47.87865974
32.83857,48.10555,1.03,48.11256061,48.06351621
32.96487,48.29057,1.03,48.29760571,48.24837268
33.09117,48.47559,1.03,48.48265081,48.43322915
33.21748,48.66061,1.03,48.66771056,48.61810025
33.34378,48.84563,1.03,48.85275566,48.80295672
33.47008,49.03065,1.03,49.03780075,48.98781319
33.59638,49.21568,1.03,49.22284585,49.17266966
33.72268,49.40069,1.03,49.40789095,49.35752613
33.84898,49.58572,1.03,49.59293605,49.5423826
33.97529,49.77074,1.03,49.7779958,49.7272537
34.10159,49.95576,1.03,49.9630409,49.91211017
34.22789,50.14078,1.03,50.14808599,50.09696664
34.35419,50.32581,1.03,50.33313109,50.28182311
34.4805,50.51082,1.03,50.51819084,50.46669422
34.6068,50.69584,1.03,50.70323594,50.65155068
34.7331,50.88086,1.03,50.88828104,50.83640715
34.8594,51.06589,1.03,51.07332614,51.02126362
34.98571,51.25092,1.03,51.25838589,51.20613473
35.11201,51.43593,1.03,51.44343098,51.3909912
35.23831,51.62095,1.03,51.62847608,51.57584767
35.36461,51.80598,1.03,51.81352118,51.76070413
35.49091,51.99099,1.03,51.99856628,51.9455606
35.61721,52.17601,1.03,52.18361138,52.13041707
35.74352,52.36103,1.03,52.36867112,52.31528818
35.86982,52.54606,1.03,52.55371622,52.50014465
35.99612,52.73108,1.03,52.73876132,52.68500112
36.12243,52.9161,1.03,52.92382107,52.86987222
36.24873,53.10112,1.03,53.10886617,53.05472869
36.37503,53.28615,1.03,53.29391127,53.23958516
36.50133,53.47116,1.03,53.47895636,53.42444163
36.62763,53.65618,1.03,53.66400146,53.6092981
36.75394,53.84121,1.03,53.84906121,53.7941692
36.88024,54.02623,1.03,54.03410631,53.97902567
37.00654,54.21125,1.03,54.21915141,54.16388214
37.13284,54.39627,1.03,54.40419651,54.34873861
37.25914,54.5813,1.03,54.5892416,54.53359508
37.38544,54.76631,1.03,54.7742867,54.71845155
37.51175,54.95134,1.03,54.95934645,54.90332265
37.63805,55.13635,1.03,55.14439155,55.08817912
37.76435,55.32138,1.03,55.32943665,55.27303559
37.89066,55.5064,1.03,55.5144964,55.4579067
38.01696,55.69142,1.03,55.69954149,55.64276316
38.14326,55.87644,1.03,55.88458659,55.82761963
38.26956,56.06147,1.03,56.06963169,56.0124761
38.39586,56.24648,1.03,56.25467679,56.19733257
38.52217,56.43151,1.03,56.43973654,56.38220368
38.64847,56.61652,1.03,56.62478164,56.56706015
38.77477,56.80155,1.03,56.80982673,56.75191662
38.90107,56.98658,1.03,56.99487183,56.93677308
39.02737,57.17159,1.03,57.17991693,57.12162955
39.15368,57.35661,1.03,57.36497668,57.30650066
39.27998,57.54164,1.03,57.55002178,57.49135713
39.40628,57.72665,1.03,57.73506688,57.6762136
39.53258,57.91167,1.03,57.92011197,57.86107007
39.65889,58.09669,1.03,58.10517172,58.04594117
39.78519,58.28172,1.03,58.29021682,58.23079764
39.91149,58.46675,1.03,58.47526192,58.41565411
40.03779,58.65176,1.03,58.66030702,58.60051058
40.16409,58.83679,1.03,58.84535212,58.78536705
40.2904,59.0218,1.03,59.03041186,58.97023815
40.4167,59.20683,1.03,59.21545696,59.15509462
40.543,59.39184,1.03,59.40050206,59.33995109
40.6693,59.57687,1.03,59.58554716,59.52480756
40.7956,59.76189,1.03,59.77059226,59.70966403
40.92191,59.94691,1.03,59.95565201,59.89453513
41.04821,60.13193,1.03,60.1406971,60.0793916
41.17451,60.31696,1.03,60.3257422,60.26424807
41.30082,60.50197,1.03,60.51080195,60.44911918
41.42712,60.687,1.03,60.69584705,60.63397565
41.55342,60.87201,1.03,60.88089215,60.81883211
41.67972,61.05704,1.03,61.06593725,61.00368858
41.80602,61.24207,1.03,61.25098234,61.18854505
41.93232,61.42708,1.03,61.43602744,61.37340152
42.05863,61.6121,1.03,61.62108719,61.55827263
42.18493,61.79712,1.03,61.80613229,61.7431291
42.31123,61.98214,1.03,61.99117739,61.92798556
42.43753,62.16717,1.03,62.17622248,62.11284203
42.56384,62.35218,1.03,62.36128223,62.29771314
42.69014,62.53721,1.03,62.54632733,62.48256961
42.81644,62.72224,1.03,62.73137243,62.66742608
42.94274,62.90725,1.03,62.91641753,62.85228255
43.06905,63.09227,1.03,63.10147728,63.03715365
43.19535,63.27729,1.03,63.28652238,63.22201012
43.32165,63.46231,1.03,63.47156747,63.40686659
43.44795,63.64734,1.03,63.65661257,63.59172306
43.57425,63.83236,1.03,63.84165767,63.77657953
43.70055,64.01738,1.03,64.02670277,63.961436
43.82686,64.20241,1.03,64.21176252,64.1463071
43.95316,64.38742,1.03,64.39680762,64.33116357
44.07946,64.57243,1.03,64.58185271,64.51602004
44.20576,64.75746,1.03,64.76689781,64.70087651
44.33207,64.94249,1.03,64.95195756,64.88574761
44.45837,65.1275,1.03,65.13700266,65.07060408
44.58467,65.31253,1.03,65.32204776,65.25546055
44.71097,65.49755,1.03,65.50709285,65.44031702
44.83728,65.68258,1.03,65.6921526,65.62518813
44.96358,65.86759,1.03,65.8771977,65.8100446
45.08988,66.0526,1.03,66.0622428,65.99490106
45.21618,66.23763,1.03,66.2472879,66.17975753
45.34248,66.42266,1.03,66.432333,66.364614
45.46878,66.60767,1.03,66.61737809,66.54947047
45.59509,66.7927,1.03,66.80243784,66.73434158
45.72139,66.97772,1.03,66.98748294,66.91919805
45.84769,67.16274,1.03,67.17252804,67.10405451
45.974,67.34776,1.03,67.35758779,67.28892562
46.1003,67.53278,1.03,67.54263289,67.47378209
46.2266,67.7178,1.03,67.72767799,67.65863856
46.3529,67.90283,1.03,67.91272308,67.84349503
46.4792,68.08784,1.03,68.09776818,68.0283515
46.60551,68.27287,1.03,68.28282793,68.2132226
46.73181,68.45789,1.03,68.46787303,68.39807907
46.85811,68.64291,1.03,68.65291813,68.58293554
46.98441,68.82793,1.03,68.83796322,68.76779201
47.11071,69.01295,1.03,69.02300832,68.95264848
47.23701,69.19798,1.03,69.20805342,69.13750495
47.36332,69.383,1.03,69.39311317,69.32237605
47.48962,69.56802,1.03,69.57815827,69.50723252
47.61592,69.75304,1.03,69.76320337,69.69208899
47.74223,69.93806,1.03,69.94826312,69.87696009
47.86853,70.12309,1.03,70.13330821,70.06181656
47.99483,70.30811,1.03,70.31835331,70.24667303
48.12113,70.49313,1.03,70.50339841,70.4315295
48.24743,70.67815,1.03,70.68844351,70.61638597
48.37374,70.86317,1.03,70.87350326,70.80125708
48.50004,71.04819,1.03,71.05854835,70.98611355
48.62634,71.23322,1.03,71.24359345,71.17097001
48.75264,71.41824,1.03,71.42863855,71.35582648
48.87894,71.60326,1.03,71.61368365,71.54068295
49.00525,71.78827,1.03,71.7987434,71.72555406
49.13155,71.9733,1.03,71.9837885,71.91041053
49.25785,72.15832,1.03,72.16883359,72.095267
49.38416,72.34335,1.03,72.35389334,72.2801381
49.51046,72.52836,1.03,72.53893844,72.46499457
49.63676,72.71339,1.03,72.72398354,72.64985104
49.76306,72.8984,1.03,72.90902864,72.83470751
49.88936,73.08343,1.03,73.09407374,73.01956398
50.01566,73.26844,1.03,73.27911883,73.20442045
50.14197,73.45347,1.03,73.46417858,73.38929155
50.26827,73.63849,1.03,73.64922368,73.57414802
50.39457,73.82351,1.03,73.83426878,73.75900449
50.52087,74.00853,1.03,74.01931388,73.94386096
50.64717,74.19356,1.03,74.20435898,74.12871743
50.77348,74.37857,1.03,74.38941872,74.31358853
50.89978,74.5636,1.03,74.57446382,74.498445
51.02608,74.74861,1.03,74.75950892,74.68330147
51.15239,74.93364,1.03,74.94456867,74.86817258
51.27869,75.11866,1.03,75.12961377,75.05302904
51.40499,75.30368,1.03,75.31465887,75.23788551
51.53129,75.4887,1.03,75.49970396,75.42274198
51.65759,75.67372,1.03,75.68474906,75.60759845
51.78389,75.85874,1.03,75.86979416,75.79245492
51.9102,76.04377,1.03,76.05485391,75.97732603
52.0365,76.22878,1.03,76.23989901,76.1621825
52.1628,76.41381,1.03,76.42494411,76.34703896
52.2891,76.59883,1.03,76.6099892,76.53189543
52.41541,76.78385,1.03,76.79504895,76.71676654
52.54171,76.96887,1.03,76.98009405,76.90162301
52.66801,77.15389,1.03,77.16513915,77.08647948
52.79431,77.33891,1.03,77.35018425,77.27133595
52.92062,77.52394,1.03,77.535244,77.45620705
53.04692,77.70895,1.03,77.72028909,77.64106352
53.17322,77.89398,1.03,77.90533419,77.82591999
53.29952,78.07901,1.03,78.09037929,78.01077646
53.42582,78.26402,1.03,78.27542439,78.19563293
53.55212,78.44904,1.03,78.46046949,78.3804894
53.67843,78.63406,1.03,78.64552924,78.5653605
53.80473,78.81908,1.03,78.83057433,78.75021697
53.93103,79.0041,1.03,79.01561943,78.93507344
54.05733,79.18913,1.03,79.20066453,79.11992991
54.18364,79.37415,1.03,79.38572428,79.30480101
54.30994,79.55918,1.03,79.57076938,79.48965748
54.43624,79.74419,1.03,79.75581448,79.67451395
54.56254,79.92921,1.03,79.94085957,79.85937042
54.68885,80.11423,1.03,80.12591932,80.04424153
54.81515,80.29926,1.03,80.31096442,80.22909799
54.94145,80.48428,1.03,80.49600952,80.41395446
55.06775,80.6693,1.03,80.68105462,80.59881093
55.19405,80.85432,1.03,80.86609972,80.7836674
55.32035,81.03934,1.03,81.05114481,80.96852387
55.44666,81.22437,1.03,81.23620456,81.15339498
55.57296,81.40938,1.03,81.42124966,81.33825144
55.69926,81.59441,1.03,81.60629476,81.52310791
55.82557,81.77943,1.03,81.79135451,81.70797902
55.95187,81.96445,1.03,81.97639961,81.89283549
56.07817,82.14947,1.03,82.1614447,82.07769196
56.20447,82.3345,1.03,82.3464898,82.26254843
56.33077,82.51951,1.03,82.5315349,82.4474049
56.45708,82.70454,1.03,82.71659465,82.632276
56.58338,82.88955,1.03,82.90163975,82.81713247
56.70968,83.07458,1.03,83.08668485,83.00198894
56.83598,83.25961,1.03,83.27172994,83.18684541
56.96228,83.44462,1.03,83.45677504,83.37170188
57.08858,83.62964,1.03,83.64182014,83.55655835
57.21489,83.81467,1.03,83.82687989,83.74142945
57.34119,83.99968,1.03,84.01192499,83.92628592
57.46749,84.18471,1.03,84.19697009,84.11114239
57.5938,84.36972,1.03,84.38202983,84.29601349
57.7201,84.55475,1.03,84.56707493,84.48086996
57.8464,84.73978,1.03,84.75212003,84.66572643
57.9727,84.92479,1.03,84.93716513,84.8505829
58.099,85.10981,1.03,85.12221023,85.03543937
58.22531,85.29484,1.03,85.30726998,85.22031048
58.35161,85.47985,1.03,85.49231507,85.40516694
58.47791,85.66487,1.03,85.67736017,85.59002341
58.60421,85.84989,1.03,85.86240527,85.77487988
58.73051,86.03492,1.03,86.04745037,85.95973635
58.85682,86.21993,1.03,86.23251012,86.14460746
58.98312,86.40496,1.03,86.41755522,86.32946393
59.10942,86.58999,1.03,86.60260031,86.51432039
59.23573,86.775,1.03,86.78766006,86.6991915
59.36203,86.96002,1.03,86.97270516,86.88404797
59.48833,87.14504,1.03,87.15775026,87.06890444
59.61463,87.33006,1.03,87.34279536,87.25376091
59.74093,87.51509,1.03,87.52784045,87.43861738
59.86723,87.7001,1.03,87.71288555,87.62347384
59.99354,87.88513,1.03,87.8979453,87.80834495
60.11984,88.07016,1.03,88.0829904,87.99320142
60.24614,88.25517,1.03,88.2680355,88.17805789
60.37244,88.44019,1.03,88.4530806,88.36291436
60.49874,88.62521,1.03,88.63812569,88.54777083
60.62505,88.81023,1.03,88.82318544,88.73264193
60.75135,88.99526,1.03,89.00823054,88.9174984
60.87765,89.18027,1.03,89.19327564,89.10235487
61.00396,89.3653,1.03,89.37833539,89.28722597
61.13026,89.55032,1.03,89.56338049,89.47208244
61.25656,89.73534,1.03,89.74842559,89.65693891
61.38286,89.92037,1.03,89.93347068,89.84179538
61.50916,90.10538,1.03,90.11851578,90.02665185
61.63546,90.29041,1.03,90.30356088,90.21150832
61.76177,90.47543,1.03,90.48862063,90.39637943
61.88807,90.66045,1.03,90.67366573,90.58123589
62.01437,90.84547,1.03,90.85871082,90.76609236
62.14067,91.03049,1.03,91.04375592,90.95094883
62.26698,91.21552,1.03,91.22881567,91.13581994
62.39328,91.40054,1.03,91.41386077,91.32067641
62.51958,91.58556,1.03,91.59890587,91.50553288
62.64588,91.77058,1.03,91.78395097,91.69038934
62.77219,91.9556,1.03,91.96901072,91.87526045
62.89849,92.14062,1.03,92.15405581,92.06011692
63.02479,92.32564,1.03,92.33910091,92.24497339
63.15109,92.51066,1.03,92.52414601,92.42982986
63.27739,92.69569,1.03,92.70919111,92.61468633
63.40369,92.8807,1.03,92.89423621,92.79954279
63.53,93.06573,1.03,93.07929595,92.9844139
63.6563,93.25076,1.03,93.26434105,93.16927037
63.7826,93.43577,1.03,93.44938615,93.35412684
63.90891,93.62079,1.03,93.6344459,93.53899794
64.03521,93.80582,1.03,93.819491,93.72385441
64.16151,93.99083,1.03,94.0045361,93.90871088
64.28781,94.17586,1.03,94.18958119,94.09356735
64.41412,94.36089,1.03,94.37464094,94.27843846
64.54041,94.5459,1.03,94.55967139,94.46328029
64.66672,94.73093,1.03,94.74473114,94.64815139
64.79302,94.91595,1.03,94.92977624,94.83300786
64.91932,95.10095,1.03,95.11482134,95.01786433
65.04562,95.28598,1.03,95.29986643,95.2027208
65.17193,95.471,1.03,95.48492618,95.38759191
65.29823,95.65602,1.03,95.66997128,95.57244837
65.42453,95.84104,1.03,95.85501638,95.75730484
65.55083,96.02607,1.03,96.04006148,95.94216131
65.67713,96.21108,1.03,96.22510658,96.12701778
65.80344,96.39611,1.03,96.41016632,96.31188889
65.92974,96.58114,1.03,96.59521142,96.49674536
66.05604,96.76615,1.03,96.78025652,96.68160183
66.18234,96.95117,1.03,96.96530162,96.86645829
66.30865,97.1362,1.03,97.15036137,97.0513294
66.43495,97.32123,1.03,97.33540647,97.23618587
66.56125,97.50624,1.03,97.52045156,97.42104234
66.68755,97.69127,1.03,97.70549666,97.60589881
66.81386,97.87628,1.03,97.89055641,97.79076991
66.94016,98.06129,1.03,98.07560151,97.97562638
67.06646,98.24632,1.03,98.26064661,98.16048285
67.19276,98.43135,1.03,98.44569171,98.34533932
67.31906,98.61636,1.03,98.6307368,98.53019579
67.44537,98.80138,1.03,98.81579655,98.71506689
67.57167,98.98641,1.03,99.00084165,98.89992336
67.69797,99.17142,1.03,99.18588675,99.08477983
